Entity Name,Attribute Name,Attribute Data Type,nullable
cohortGraduRateStDistSchoolSubgrp,,,
,Id,string,TRUE
,Reporting Level,string,TRUE
,System ID,string,TRUE
,School ID,string,TRUE
,System Name,string,TRUE
,School Name,string,TRUE
,Reporting Label,string,TRUE
,Graduation Class Size,string,TRUE
,Total Graduated,string,TRUE
,Graduation Rate,string,TRUE
graduationRatesbySubgroup,,,
,Id,string,TRUE
,Reporting Level,string,TRUE
,Reporting Level,string,TRUE
,System ID,string,TRUE
,School ID,string,TRUE
,System Name,string,TRUE
,School Name,string,TRUE
,Reporting Label,string,TRUE
,Graduation Rate,string,TRUE
